movie	rottentomatoes	title
0918	2	The Eel (Unagi)	The Eel (Unagi) (1997)
0919	2	The Jazz Singer	The Jazz Singer (1927)
0920	2	Purple Rain	Purple Rain (1984)
0921	2	The Boxer	The Boxer (1997)
0922	2	Swimming with Sharks	Swimming with Sharks (1994)
0923	2	Caos Calmo (Quiet Chaos)	Caos Calmo (Quiet Chaos) (2008)
0924	2	Believe in Me	Believe in Me (2006)
0925	2	Alligator	Alligator (1980)
0926	2	Loins of Punjab Presents	Loins of Punjab Presents (2007)
0927	2	Mansfield Park	Mansfield Park (1998)
0928	2	Comedian	Comedian (2002)
0929	2	Hello Again	Hello Again (1987)
0930	2	the Ape Man	Tarzan, the Ape Man (1981)
0931	2	Celsius 41.11	Celsius 41.11 (2004)
0932	2	North	North (1994)
0933	2	Black Dog	Black Dog (1998)
0934	2	Double Team	Double Team (1997)
0935	2	One Crazy Summer	One Crazy Summer (1986)
0936	2	The Baby-Sitters Club	The Baby-Sitters Club (1995)
0937	2	Tapeheads	Tapeheads (1988)
0938	2	Voices of Iraq	Voices of Iraq (2004)
0939	2	Made in Jamaica	Made in Jamaica (2006)
0940	2	The Kids Grow Up	The Kids Grow Up (2009)
0941	2	Six-String Samurai	Six-String Samurai (1998)
0942	2	American Flyers	American Flyers (1985)
0943	2	Fidel	Fidel (2002)
0944	2	Wrestling Ernest Hemingway	Wrestling Ernest Hemingway (1993)
0945	2	Chances Are	Chances Are (1989)
0946	2	History of the World -- Part I	History of the World -- Part I (1981)
0947	2	Mountains of the Moon	Mountains of the Moon (1990)
0948	2	JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA)	JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA) (2002)
0949	2	American Blackout	American Blackout (2006)
0950	2	Children of the Damned	Children of the Damned (1963)
0951	2	Sweet Liberty	Sweet Liberty (1986)
0952	2	The Killing of Sister George	The Killing of Sister George (1968)
0953	2	Rivals (Les Liens du sang)	Rivals (Les Liens du sang) (2008)
0954	2	Ischeznuvshaya Imperiya (Vanished Empire)	Ischeznuvshaya Imperiya (Vanished Empire) (2008)
0955	2	The Anniversary Party	The Anniversary Party (2001)
0956	2	Shopgirl	Shopgirl (2005)
0957	2	Night and the City	Night and the City (1950)
0958	2	Seaside	Seaside (2002)
0959	2	The Mosquito Coast	The Mosquito Coast (1986)
0960	2	A Place in the Sun	A Place in the Sun (1951)
0961	2	Pola X	Pola X (1999)
0962	2	Megiddo: Omega Code 2	Megiddo: Omega Code 2 (2001)
0963	2	Garden Party	Garden Party (2007)
0964	2	Two if By Sea	Two if By Sea (1996)
0965	2	The Young Unknowns	The Young Unknowns (2000)
0966	2	The Architect	The Architect (2006)
0967	2	Oswald's Ghost	Oswald's Ghost (2007)
0968	2	Fletch	Fletch (1985)
0969	2	Game Over: Kasparov and the Machine	Game Over: Kasparov and the Machine (2004)
0970	2	Copycat	Copycat (1995)
0971	2	Seom (The Isle)	Seom (The Isle) (2000)
0972	2	Arven (The Inheritance)	Arven (The Inheritance) (2003)
0973	2	The Other Side of the Street	The Other Side of the Street (2004)
0974	2	The Newton Boys	The Newton Boys (1998)
0975	2	Strange Days	Strange Days (1995)
0976	2	Desperado	Desperado (1995)
0977	2	Swimming Upstream	Swimming Upstream (2004)
0978	2	Taking Sides	Taking Sides (2001)
0979	2	Nixon	Nixon (1995)
0980	2	The Last Shot	The Last Shot (2004)
0981	2	Crank	Crank (2006)
0982	2	Arctic Tale	Arctic Tale (2007)
0983	2	The Matador	The Matador (2005)
0984	2	The Devil Wears Prada	The Devil Wears Prada (2006)
0985	2	Invictus	Invictus (2009)
0986	2	Salt	Salt (2010)
0987	2	Ernest Goes to Camp	Ernest Goes to Camp (1987)
0988	2	Billy Jack	Billy Jack (1971)
0989	2	Tough Guys	Tough Guys (1986)
0990	2	Going My Way	Going My Way (1944)
0991	2	Grass	Grass (1999)
0992	2	Real Genius	Real Genius (1985)
0993	2	New York Stories	New York Stories (1989)
0994	2	Under Siege	Under Siege (1992)
0995	2	The Debut	The Debut (2001)
0996	2	The Cotton Club	The Cotton Club (1984)
0997	2	Nos enfants nous accuseront (Food Beware: The French Organic Revolution)	Nos enfants nous accuseront (Food Beware: The French Organic Revolution) (2009)
0998	2	The Mighty	The Mighty (1998)
0999	2	The Boys of Baraka	The Boys of Baraka (2005)
1000	2	I Sell the Dead	I Sell the Dead (2008)
1001	2	Caddyshack	Caddyshack (1980)
1002	2	Abril Despeda�ado (Behind the Sun)	Abril Despeda�ado (Behind the Sun) (2001)
1003	2	$9.99	$9.99 (2008)
1004	2	The Hunting of the President	The Hunting of the President (2003)
1005	2	The Big Kahuna	The Big Kahuna (1999)
1006	2	Unknown White Male	Unknown White Male (2005)
1007	2	Chinjeolhan geumjassi (Lady Vengeance) (Sympathy for Lady Vengeance)	Chinjeolhan geumjassi (Lady Vengeance) (Sympathy for Lady Vengeance) (2005)
1008	2	The Emperor's New Clothes	The Emperor's New Clothes (2001)
1009	2	Calendar Girls	Calendar Girls (2003)
1010	2	The Score	The Score (2001)
1011	2	Harold & Kumar Go to White Castle	Harold & Kumar Go to White Castle (2004)
1012	2	Happy Feet	Happy Feet (2006)
1013	2	Julie & Julia	Julie & Julia (2009)
1014	2	Signs	Signs (2002)
1015	2	Iron Man 2	Iron Man 2 (2010)
1016	2	Death on the Nile	Death on the Nile (1978)
1017	2	...And God Created Woman	...And God Created Woman (1956)
1018	2	Gypsy	Gypsy (1962)
1019	2	La sindrome di Stendhal (The Stendhal Syndrome)	La sindrome di Stendhal (The Stendhal Syndrome) (1996)
1020	2	Secret Honor	Secret Honor (1984)
1021	2	or Sitting Bull's History Lesson	Buffalo Bill and the Indians, or Sitting Bull's History Lesson (1976)
1022	2	Werewolf of London	Werewolf of London (1935)
1023	2	Sleeper	Sleeper (1973)
1024	2	Marty	Marty (1955)
1025	2	The Decalogue	The Decalogue (1988)
1026	2	The African Queen	The African Queen (1951)
1027	2	Mikey and Nicky	Mikey and Nicky (1976)
1028	2	Very Young Girls	Very Young Girls (2007)
1029	2	Rich in Love	Rich in Love (1993)
1030	2	Joe the King	Joe the King (1999)
1031	2	'R Xmas	'R Xmas (2001)
1032	2	The Green Butchers (Gr�nne slagtere)	The Green Butchers (Gr�nne slagtere) (2003)
1033	2	The Last House on the Left	The Last House on the Left (1972)
1034	2	Earth Girls Are Easy	Earth Girls Are Easy (1989)
1035	2	Mail Order Wife	Mail Order Wife (2004)
1036	2	In the Pit	In the Pit (2005)
1037	2	Mr. Holland's Opus	Mr. Holland's Opus (1995)
1038	2	The Witches of Eastwick	The Witches of Eastwick (1987)
1039	2	Army of Darkness	Army of Darkness (1992)
1040	2	The Great New Wonderful	The Great New Wonderful (2005)
1041	2	Next Stop Wonderland	Next Stop Wonderland (1998)
1042	2	The Dinner Game (Le D�ner de cons)	The Dinner Game (Le D�ner de cons) (1998)
1043	2	The Hunchback of Notre Dame	The Hunchback of Notre Dame (1996)
1044	2	He Loves Me Not (� la folie... pas du tout)	He Loves Me, He Loves Me Not (� la folie... pas du tout) (2002)
1045	2	The Musketeer	The Musketeer (2001)
1046	2	End of Days	End of Days (1999)
1047	2	Propaganda & the Promised Land	Peace, Propaganda & the Promised Land (2004)
1048	2	Police Beat	Police Beat (2004)
1049	2	Lawn Dogs	Lawn Dogs (1997)
1050	2	Pipe Dream	Pipe Dream (2002)
1051	2	Mixed Nuts	Mixed Nuts (1994)
1052	2	Inside Man	Inside Man (2006)
1053	2	The Snow Walker	The Snow Walker (2003)
1054	2	Juice	Juice (1992)
1055	2	Eye of the Needle	Eye of the Needle (1981)
1056	2	Bonjour Tristesse	Bonjour Tristesse (1957)
1057	2	Dr. Bronner's Magic Soapbox	Dr. Bronner's Magic Soapbox (2007)
1058	2	The Price of Sugar	The Price of Sugar (2007)
1059	2	Waiting For Dublin	Waiting For Dublin (2008)
1060	2	31 North 62 East (Too Close to the Truth)	31 North 62 East (Too Close to the Truth) (2009)
1061	2	Two Can Play That Game	Two Can Play That Game (2001)
1062	2	Renaissance	Renaissance (2006)
1063	2	Deliver Us from Eva	Deliver Us from Eva (2002)
1064	2	Big Fat Liar	Big Fat Liar (2002)
1065	2	Night at the Museum	Night at the Museum (2006)
1066	2	Le Silence de Lorna (The Silence of Lorna) (Lorna's Silence)	Le Silence de Lorna (The Silence of Lorna) (Lorna's Silence) (2008)
1067	2	Sexy Beast	Sexy Beast (2000)
1068	2	Lovely & Amazing	Lovely & Amazing (2001)
1069	2	The Matrix	The Matrix (1999)
1070	2	The Girl with the Dragon Tattoo (M�n som hatar kvinnor)	The Girl with the Dragon Tattoo (M�n som hatar kvinnor) (2009)
1071	2	A Single Man	A Single Man (2010)
1072	2	Telling Lies In America	Telling Lies In America (1997)
1073	2	The Package	The Package (1989)
1074	2	This Property Is Condemned	This Property Is Condemned (1966)
1075	2	Dummy	Dummy (2003)
1076	2	The Red Violin	The Red Violin (1998)
1077	2	Sleepless in Seattle	Sleepless in Seattle (1993)
1078	2	Cherry Tree Lane	Cherry Tree Lane (2010)
1079	2	Cr�nicas	Cr�nicas (2004)
1080	2	Carriers	Carriers (2009)
1081	2	(The Other Woman)	La Sconosciuta, (The Unknown), (The Other Woman) (2006)
1082	2	Wild At Heart	Wild At Heart (1990)
1083	2	For Love of the Game	For Love of the Game (1999)
1084	2	The Land Before Time	The Land Before Time (1988)
1085	2	Back to the Beach	Back to the Beach (1987)
1086	2	Stir Crazy	Stir Crazy (1980)
1087	2	Skammen (Shame)	Skammen (Shame) (1968)
1088	2	Jason's Lyric	Jason's Lyric (1994)
1089	2	La Notte	La Notte (1961)
1090	2	The Pirate	The Pirate (1948)
1091	2	The Great Muppet Caper	The Great Muppet Caper (1981)
1092	2	The King of Marvin Gardens	The King of Marvin Gardens (1972)
1093	2	Virgil Bliss	Virgil Bliss (2001)
1094	2	The Method (El Metodo)	The Method (El Metodo) (2005)
1095	2	Paper Dolls (Bubot Niyar)	Paper Dolls (Bubot Niyar) (2006)
1096	2	Helen	Helen (2008)
1097	2	a/k/a Tommy Chong	a/k/a Tommy Chong (2005)
1098	2	Three Men and a Baby (3 Men and a Baby)	Three Men and a Baby (3 Men and a Baby) (1987)
1099	2	A Room for Romeo Brass	A Room for Romeo Brass (1999)
1100	2	Thongs and Perfect Snogging	Angus, Thongs and Perfect Snogging (2008)
1101	2	In & Out	In & Out (1997)
1102	2	Boy Culture	Boy Culture (2006)
1103	2	Full Battle Rattle	Full Battle Rattle (2008)
1104	2	The Outsiders	The Outsiders (1983)
1105	2	Plan 9 from Outer Space	Plan 9 from Outer Space (1956)
1106	2	Great Directors	Great Directors (2009)
1107	2	Gremlins 2 - The New Batch	Gremlins 2 - The New Batch (1990)
1108	2	For Your Eyes Only	For Your Eyes Only (1981)
1109	2	Shallow Grave	Shallow Grave (1994)
1110	2	The World (Shijie)	The World (Shijie) (2005)
1111	2	Jacob's Ladder	Jacob's Ladder (1990)
1112	2	Bread and Tulips	Bread and Tulips (2000)
1113	2	Schultze Gets the Blues	Schultze Gets the Blues (2003)
1114	2	Sex and Lucia (Luc�a y el sexo)	Sex and Lucia (Luc�a y el sexo) (2001)
1115	2	Fido	Fido (2006)
1116	2	The Cider House Rules	The Cider House Rules (1999)
1117	2	Monsters	Monsters (2010)
1118	2	The Crazies	The Crazies (2010)
1119	2	Solaris	Solaris (2002)
1120	2	Bitter Moon	Bitter Moon (1992)
1121	2	Oxygen	Oxygen (1999)
1122	2	Possession (The Night the Screaming Stops)	Possession (The Night the Screaming Stops) (1981)
1123	2	Mac	Mac (1992)
1124	2	Ivanhoe	Ivanhoe (1952)
1125	2	The Europeans	The Europeans (1979)
1126	2	Miss Potter	Miss Potter (2006)
1127	2	Shanghai Knights	Shanghai Knights (2003)
1128	2	Black Snake Moan	Black Snake Moan (2007)
1129	2	Madame Butterfly	Madame Butterfly (1995)
1130	2	Stuff and Dough (Marfa si banii)	Stuff and Dough (Marfa si banii) (2008)
1131	2	Blinkende Lygter (Flickering Lights)	Blinkende Lygter (Flickering Lights) (2001)
1132	2	The Woman Chaser	The Woman Chaser (1999)
1133	2	The Annihilation of Fish	The Annihilation of Fish (2001)
1134	2	Bad Taste	Bad Taste (1987)
1135	2	Monsieur N.	Monsieur N. (2003)
1136	2	Still	Lovely, Still (2008)
1137	2	King of New York	King of New York (1990)
1138	2	Love Comes Lately	Love Comes Lately (2007)
1139	2	Phyllis and Harold	Phyllis and Harold (2008)
1140	2	Dead Man	Dead Man (1995)
1141	2	Waydowntown	Waydowntown (2000)
1142	2	Maverick	Maverick (1994)
1143	2	Roving Mars	Roving Mars (2006)
1144	2	Father and Son	Father and Son (2004)
1145	2	Torremolinos 73	Torremolinos 73 (2005)
1146	2	Chopper	Chopper (2000)
1147	2	Leonard Cohen: I'm Your Man	Leonard Cohen: I'm Your Man (2005)
1148	2	Amazing Grace	Amazing Grace (2006)
1149	2	Year of the Dog	Year of the Dog (2007)
1150	2	Religulous	Religulous (2008)
1151	2	Rachel	Rachel (2009)
1152	2	Balibo	Balibo (2009)
1153	2	American Radical: The Trials of Norman Finkelstein	American Radical: The Trials of Norman Finkelstein (2009)
1154	2	Marat Sade	Marat Sade (1966)
1155	2	12 Angry Men (Twelve Angry Men)	12 Angry Men (Twelve Angry Men) (1957)
1156	2	FernGully - The Last Rainforest	FernGully - The Last Rainforest (1992)
1157	2	Bedrooms and Hallways	Bedrooms and Hallways (1998)
1158	2	The Girl in the Park	The Girl in the Park (2007)
1159	2	Mardi Gras: Made in China	Mardi Gras: Made in China (2005)
1160	2	Muppet Treasure Island	Muppet Treasure Island (1996)
1161	2	Fuel	Fuel (2008)
1162	2	The Long Kiss Goodnight	The Long Kiss Goodnight (1996)
1163	2	Bonjour Monsieur Shlomi	Bonjour Monsieur Shlomi (2004)
1164	2	Opal Dream	Opal Dream (2006)
1165	2	L'Iceberg	L'Iceberg (2007)
1166	2	The Hammer	The Hammer (2007)
1167	2	Thomas in Love (Thomas est amoureux)	Thomas in Love (Thomas est amoureux) (2000)
1168	2	Cocaine Cowboys	Cocaine Cowboys (2006)
1169	2	Romeo + Juliet	Romeo + Juliet (1996)
1170	2	Personal Velocity: Three Portraits	Personal Velocity: Three Portraits (2001)
1171	2	Curious George	Curious George (2006)
1172	2	Max	Max (2002)
1173	2	The Girl Who Played with Fire (Flickan som lekte med elden)	The Girl Who Played with Fire (Flickan som lekte med elden) (2009)
1174	2	Hollywoodland	Hollywoodland (2006)
1175	2	I Am Legend	I Am Legend (2007)
1176	2	World Trade Center	World Trade Center (2006)
1177	2	Shiloh 2 - Shiloh Season	Shiloh 2 - Shiloh Season (1999)
1178	2	Closer	Closer (2004)
1179	2	Restoration	Restoration (1996)
1180	2	The Manson Family	The Manson Family (2004)
1181	2	The Same River Twice	The Same River Twice (2003)
1182	2	The Adventures of Buckaroo Banzai Across the 8th Dimension	The Adventures of Buckaroo Banzai Across the 8th Dimension (1984)
1183	2	All About Lily Chou-Chou (Riri Shushu no subete)	All About Lily Chou-Chou (Riri Shushu no subete) (2001)
1184	2	Porn Star - The Legend of Ron Jeremy	Porn Star - The Legend of Ron Jeremy (2001)
1185	2	A Time to Kill	A Time to Kill (1996)
1186	2	Austin Powers - International Man of Mystery	Austin Powers - International Man of Mystery (1997)
1187	2	Darfur Now	Darfur Now (2007)
1188	2	Ronin	Ronin (1998)
1189	2	Paris	Paris (2008)
1190	2	Titus	Titus (1999)
1191	2	The Chorus (Les Choristes)	The Chorus (Les Choristes) (2004)
1192	2	Hard Candy	Hard Candy (2005)
1193	2	Redbelt	Redbelt (2008)
1194	2	Youth in Revolt	Youth in Revolt (2009)
1195	2	Once Upon a Time in Mexico	Once Upon a Time in Mexico (2003)
1196	2	A Bridge Too Far	A Bridge Too Far (1977)
1197	2	The Big Blue (Le Grand bleu)	The Big Blue (Le Grand bleu) (1988)
1198	2	Raja	Raja (2003)
1199	2	Chocolat	Chocolat (1988)
1200	2	Sleepaway Camp	Sleepaway Camp (1983)
1201	2	Y�kai daisens� (The Great Yokai War)	Y�kai daisens� (The Great Yokai War) (2005)
1202	2	White Fang	White Fang (1991)
1203	2	Notte)	Good Morning, Night (Buongiorno, Notte) (2005)
1204	2	Farinelli	Farinelli (1994)
1205	2	Female Perversions	Female Perversions (1996)
1206	2	loudQUIETloud: A Film About the Pixies	loudQUIETloud: A Film About the Pixies (2006)
1207	2	Aliens	Aliens (1986)
1208	2	The Governess	The Governess (1998)
1209	2	Grumpy Old Men	Grumpy Old Men (1993)
1210	2	Diamonds Are Forever	Diamonds Are Forever (1971)
1211	2	Irina Palm	Irina Palm (2007)
1212	2	Too Much Sleep	Too Much Sleep (2001)
1213	2	The Last Days of Disco	The Last Days of Disco (1998)
1214	2	Notre Musique	Notre Musique (2005)
1215	2	A Midsummer Night's Dream	A Midsummer Night's Dream (1999)
1216	2	Death Proof (Grindhouse Presents)	Death Proof (Grindhouse Presents) (2007)
1217	2	Snow Cake	Snow Cake (2006)
1218	2	Manic	Manic (2001)
1219	2	Me Without You	Me Without You (2001)
1220	2	The 400 Blows (Les Quatre cents coups)	The 400 Blows (Les Quatre cents coups) (1959)
1221	2	On the Waterfront	On the Waterfront (1954)
1222	2	Citizen Kane	Citizen Kane (1941)
1223	2	The Blind Side	The Blind Side (2009)
1224	2	Anchorman - The Legend Of Ron Burgundy	Anchorman - The Legend Of Ron Burgundy (2004)
1225	2	Breaking Upwards	Breaking Upwards (2009)
1226	2	Defendor	Defendor (2009)
1227	2	Love at First Bite	Love at First Bite (1979)
1228	2	Deja Vu	Deja Vu (1997)
1229	2	Clash of the Titans	Clash of the Titans (1981)
1230	2	Executive Decision	Executive Decision (1996)
1231	2	Cremaster 3	Cremaster 3 (2002)
1232	2	Dick Tracy	Dick Tracy (1990)
1233	2	Warlords (Tau ming chong)	Warlords (Tau ming chong) (2007)
1234	2	Jonah - A VeggieTales Movie	Jonah - A VeggieTales Movie (2002)
1235	2	Soylent Green	Soylent Green (1973)
1236	2	Girls Can't Swim	Girls Can't Swim (2002)
1237	2	Street Fighter	Street Fighter (1994)
1238	2	The Glimmer Man	The Glimmer Man (1996)
1239	2	A Thin Line Between Love and Hate	A Thin Line Between Love and Hate (1996)
1240	2	Fair Game	Fair Game (1995)
1241	2	Screwed	Screwed (2000)
1242	2	Down Periscope	Down Periscope (1996)
1243	2	The Lords of Flatbush	The Lords of Flatbush (1974)
1244	2	Breathless	Breathless (1983)
1245	2	Wigstock - The Movie	Wigstock - The Movie (1995)
1246	2	Palookaville	Palookaville (1995)
1247	2	Fiend without a Face	Fiend without a Face (1958)
1248	2	Suture	Suture (1994)
1249	2	All My Loved Ones	All My Loved Ones (2000)
1250	2	Phone Booth	Phone Booth (2003)
1251	2	Monsters vs. Aliens	Monsters vs. Aliens (2009)
1252	2	Alexander the Last	Alexander the Last (2009)
1253	2	Greek Pete	Greek Pete (2009)
1254	2	Make Out With Violence	Make Out With Violence (2009)
1255	2	Stand and Deliver	Stand and Deliver (1988)
1256	2	Shag	Shag (1988)
1257	2	Father of the Bride	Father of the Bride (1991)
1258	2	Hamlet	Hamlet (1990)
1259	2	Mo' Better Blues	Mo' Better Blues (1990)
1260	2	Cavalcade	Cavalcade (1933)
1261	2	Colour of Water (Khadak)	Colour of Water (Khadak) (2006)
1262	2	Ju-on: The Curse (Curse Grudge)	Ju-on: The Curse (Curse Grudge) (2000)
1263	2	L.A. Confidential	L.A. Confidential (1997)
1264	2	Whole New Thing	Whole New Thing (2005)
1265	2	The TV Set	The TV Set (2006)
1266	2	Rounders	Rounders (1998)
1267	2	Madagascar: Escape 2 Africa	Madagascar: Escape 2 Africa (2008)
1268	2	Possession	Possession (2002)
1269	2	Dan in Real Life	Dan in Real Life (2007)
1270	2	Robots	Robots (2005)
1271	2	The Imaginarium of Doctor Parnassus	The Imaginarium of Doctor Parnassus (2009)
1272	2	Quantum of Solace	Quantum of Solace (2008)
1273	2	Danger: Diabolik	Danger: Diabolik (1968)
1274	2	The Morning After	The Morning After (1986)
1275	2	Wherever You Are (Lifelines)	Wherever You Are (Lifelines) (2008)
1276	2	Off Jackson Avenue	Off Jackson Avenue (2008)
1277	2	Favela Rising	Favela Rising (2005)
1278	2	Toy Story 3	Toy Story 3 (2010)
1279	2	The Secret of Roan Inish	The Secret of Roan Inish (1994)
1280	2	Strangers on a Train	Strangers on a Train (1951)
1281	2	Some Like It Hot	Some Like It Hot (1959)
1282	2	Solyaris (Solaris)	Solyaris (Solaris) (1976)
1283	2	Dazed and Confused	Dazed and Confused (1993)
1284	2	Starsuckers	Starsuckers (2009)
1285	2	The Best Two Years	The Best Two Years (2003)
1286	2	Koroshiya 1 (Ichi the Killer)	Koroshiya 1 (Ichi the Killer) (2001)
1287	2	Jackass: Number Two	Jackass: Number Two (2006)
1288	2	Brideshead Revisited	Brideshead Revisited (2008)
1289	2	Zoolander	Zoolander (2001)
1290	2	Clerks II	Clerks II (2006)
1291	2	Town & Country	Town & Country (2001)
1292	2	American Outlaws	American Outlaws (2001)
1293	2	Uptown Girls	Uptown Girls (2003)
1294	2	Mortal Thoughts	Mortal Thoughts (1991)
1295	2	River of No Return	River of No Return (1954)
1296	2	By Hook Or By Crook	By Hook Or By Crook (2001)
1297	2	Comandante	Comandante (2003)
1298	2	Backbeat	Backbeat (1994)
1299	2	Under the Sun	Under the Sun (1999)
1300	2	Alice et Martin (Alice and Martin)	Alice et Martin (Alice and Martin) (1998)
1301	2	Twin Peaks - Fire Walk with Me	Twin Peaks - Fire Walk with Me (1992)
1302	2	2 Days in the Valley	2 Days in the Valley (1996)
1303	2	Muppets From Space	Muppets From Space (1999)
1304	2	Time of the Wolf	Time of the Wolf (2003)
1305	2	Moonlight Mile	Moonlight Mile (2002)
1306	2	Star Wars: Episode I - The Phantom Menace	Star Wars: Episode I - The Phantom Menace (1999)
1307	2	Changeling	Changeling (2008)
1308	2	The Electric Horseman	The Electric Horseman (1979)
1309	2	Lord of the Flies	Lord of the Flies (1990)
1310	2	Chiko	Chiko (2008)
1311	2	The Scouting Book for Boys	The Scouting Book for Boys (2009)
1312	2	Always	Always (1989)
1313	2	Risky Business	Risky Business (1983)
1314	2	Double Indemnity	Double Indemnity (1944)
1315	2	The Night of the Hunter	The Night of the Hunter (1955)
1316	2	Funny Games	Funny Games (1998)
1317	2	The Dry Land	The Dry Land (2010)
1318	2	Green Dragon	Green Dragon (2002)
1319	2	Bra Boys	Bra Boys (2007)
1320	2	The Hitcher	The Hitcher (1986)
1321	2	39 Pounds of Love	39 Pounds of Love (2005)
1322	2	Friday the 13th	Friday the 13th (1980)
1323	2	Wolf	Wolf (1994)
1324	2	Return to Me	Return to Me (2000)
1325	2	Something New	Something New (2006)
1326	2	The Joneses	The Joneses (2009)
1327	2	Under the Tuscan Sun	Under the Tuscan Sun (2003)
1328	2	Valkyrie	Valkyrie (2008)
1329	2	Falling in Love	Falling in Love (1984)
1330	2	Lord of the Apes	Greystoke: The Legend of Tarzan, Lord of the Apes (1984)
1331	2	Fun with Dick and Jane	Fun with Dick and Jane (1977)
1332	2	Cross Creek	Cross Creek (1983)
1333	2	so nah!)	Faraway, So Close! (In weiter Ferne, so nah!) (1993)
1334	2	Immediate Family	Immediate Family (1989)
1335	2	Power	Power (1986)
1336	2	The Substance of Fire	The Substance of Fire (1996)
1337	2	The Fugitive Kind	The Fugitive Kind (1960)
1338	2	Class of 1984	Class of 1984 (1981)
1339	2	Jing wu ying xiong (Fist of Legend)	Jing wu ying xiong (Fist of Legend) (1994)
1340	2	Black Sunday	Black Sunday (1977)
1341	2	Melvin Goes to Dinner	Melvin Goes to Dinner (2003)
1342	2	Stroker Ace	Stroker Ace (1983)
1343	2	The Distinguished Gentleman	The Distinguished Gentleman (1992)
1344	2	The Rich Man's Wife	The Rich Man's Wife (1996)
1345	2	Wayne's World 2	Wayne's World 2 (1993)
1346	2	Madame Sat�	Madame Sat� (2002)
1347	2	Twilight	Twilight (1998)
1348	2	Starship Troopers	Starship Troopers (1997)
1349	2	Dust to Glory	Dust to Glory (2004)
1350	2	Shadow Hours	Shadow Hours (2000)
1351	2	Another Stakeout	Another Stakeout (1993)
1352	2	Halloween 5: The Revenge of Michael Myers	Halloween 5: The Revenge of Michael Myers (1989)
1353	2	Cocktail	Cocktail (1988)
1354	2	Les Miserables	Les Miserables (1998)
1355	2	Brother to Brother	Brother to Brother (2004)
1356	2	The Adventures of Elmo in Grouchland	The Adventures of Elmo in Grouchland (1999)
1357	2	Naissance des Pieuvres (Water Lilies)	Naissance des Pieuvres (Water Lilies) (2007)
1358	2	The New World	The New World (2005)
1359	2	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy (2005)
1360	2	Siddhartha	Siddhartha (1972)
1361	2	Catch a Fire	Catch a Fire (2006)
1362	2	Frida	Frida (2002)
1363	2	Dawn of the Dead	Dawn of the Dead (2004)
1364	2	Capitalism: A Love Story	Capitalism: A Love Story (2009)
1365	2	Love the Beast	Love the Beast (2008)
1366	2	The Exorcist III	The Exorcist III (1990)
1367	2	Eleven Minutes	Eleven Minutes (2008)
1368	2	Sleep Dealer	Sleep Dealer (2008)
1369	2	Seven Years in Tibet	Seven Years in Tibet (1997)
1370	2	Cemetery Junction	Cemetery Junction (2010)
1371	2	Mark of the Vampire	Mark of the Vampire (1935)
1372	2	The Life and Times of Allen Ginsberg	The Life and Times of Allen Ginsberg (1993)
1373	2	Cremaster 2	Cremaster 2 (1999)
1374	2	The King and I	The King and I (1999)
1375	2	The Super Mario Bros.	The Super Mario Bros. (1993)
1376	2	Bug	Bug (2006)
1377	2	The International	The International (2009)
1378	2	The Cutting Edge	The Cutting Edge (1992)
1379	2	Iron Will	Iron Will (1994)
1380	2	Tacones Lejanos (High Heels)	Tacones Lejanos (High Heels) (1991)
1381	2	Roma (Fellini's Roma)	Roma (Fellini's Roma) (1972)
1382	2	The Drowning Pool	The Drowning Pool (1975)
1383	2	Safe Men	Safe Men (1998)
1384	2	Humboldt County	Humboldt County (2008)
1385	2	Joe Versus the Volcano	Joe Versus the Volcano (1990)
1386	2	Time of Favor	Time of Favor (2000)
1387	2	Pandaemonium	Pandaemonium (2000)
1388	2	Guarding Tess	Guarding Tess (1994)
1389	2	Girls Will Be Girls	Girls Will Be Girls (2002)
1390	2	Noise	Noise (2007)
1391	2	The Stoning of Soraya M.	The Stoning of Soraya M. (2008)
1392	2	Quarantine	Quarantine (2008)
1393	2	Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland	Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland (2006)
1394	2	Casa de los Babys	Casa de los Babys (2003)
1395	2	The War Tapes	The War Tapes (2006)
1396	2	The Fog of War - Eleven Lessons from the Life of Robert S. McNamara	The Fog of War - Eleven Lessons from the Life of Robert S. McNamara (2003)
1397	2	The Big Lebowski	The Big Lebowski (1998)
1398	2	I Love You Phillip Morris	I Love You Phillip Morris (2009)
1399	2	Last Orders	Last Orders (2001)
1400	2	The Virgin Suicides	The Virgin Suicides (1999)
1401	2	Owning Mahowny	Owning Mahowny (2003)
1402	2	The Saddest Music in the World	The Saddest Music in the World (2003)
1403	2	The Wrestler	The Wrestler (2008)
1404	2	Up	Up (2009)
1405	2	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington (1939)
1406	2	Shane	Shane (1953)
1407	2	Waveriders	Waveriders (2009)
1408	2	Jaws 2	Jaws 2 (1978)
1409	2	Mr. Wonderful	Mr. Wonderful (1993)
1410	2	Jolene	Jolene (2008)
1411	2	Waiting to Exhale	Waiting to Exhale (1995)
1412	2	Bab'Aziz - The Prince That Contemplated His Soul	Bab'Aziz - The Prince That Contemplated His Soul (2008)
