restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
0724	3	307 Westheimer Rd.	(Mason St.)	Houston, TX 77006
0725	2	540 Texas St	Houston, TX 77002
0726	3	2245 W. Alabama St.	(Greenbriar Dr.)	Houston, TX 77098
0727	3	4412 Montrose Blvd.	(Richmond Ave.)	Houston, TX 77006
0728	3	5727 Westheimer Rd	(Chimney Rock)	Houston, TX 77057
0729	3	4500 Richmond Ave.	(Mid Ln.)	Houston, TX 77027
0730	5	Omni Hotel Houston	|	4 Riverway	(Hwy. 610)	Houston, TX 77056
0731	3	812 Westheimer Ave.	(bet. Montrose Blvd. & Stanford St.)	Houston, TX 77006
0732	2	12310 Kingsride Ln	Houston, TX 77024
0733	3	2325 University Blvd.	(bet. Greenbriar & Morningside Drs.)	Houston, TX 77005
0734	3	813 Jackson Hill St.	(bet. Floyd & Lillian Sts.)	Houston, TX 77007
0735	3	487 Bay Area Blvd.	(bet. Sea Liner & Seawolf Drs.)	Houston, TX 77058
0736	3	1401 Montrose Blvd.	(bet. Clay & Gray Sts.)	Houston, TX 77019
0737	5	Four Seasons Hotel	|	1300 Lamar St.	(Austin St.)	Houston, TX 77010
0738	3	1396 Eldridge Pkwy.	(Forkland Dr.)	Houston, TX 77077
0739	5	St. Regis Hotel	|	1919 Briar Oaks Ln.	(San Felipe St.)	Houston, TX 77027
0740	2	3202 South Loop W	Houston, TX 77025
0741	2	8943 Katy Fwy	Houston, TX 77024
0742	3	909 Texas Ave.	(Travis St.)	Houston, TX 77002
0743	3	8979 Westheimer Rd.	(Fondren Rd.)	Houston, TX 77063
0744	3	1503 Shepherd Dr.	(Maxie St.)	Houston, TX 77007
0745	5	MGM Grand Hotel	|	3799 Las Vegas Blvd. S.	(Tropicana Ave.)	Las Vegas, NV 89109
0746	5	New York-New York Hotel	|	3790 Las Vegas Blvd. S.	(Tropicana Ave.)	Las Vegas, NV 89109
0747	2	7125 N Durango Dr	Las Vegas, NV 89149
0748	2	8560 W Desert Inn Rd Ste D5	Las Vegas, NV 89117
0749	5	Mandalay Bay Resort	|	3950 Las Vegas Blvd. S.	(Mandalay Bay Rd.)	Las Vegas, NV 89119
0750	5	Las Vegas Hilton	|	3000 Paradise Rd.	(bet. Desert Inn Rd. & Karen Ave.)	Las Vegas, NV 89109
0751	3	412 E. Flamingo Rd.	(Paradise Rd.)	Las Vegas, NV 89109
0752	5	Mandalay Place	|	3930 Las Vegas Blvd. S.	(Mandalay Bay Rd.)	Las Vegas, NV 89119
0753	5	Rio All-Suite Hotel	|	3700 W. Flamingo Rd.	(bet. I-15 & Valley View Blvd.)	Las Vegas, NV 89103
0754	3	8771 W. Charleston Blvd.	(Durango St.)	Las Vegas, NV 89117
0755	2	1204 S Main St	Las Vegas, NV 89104
0756	2	129 Fremont St	Las Vegas, NV 89101
0757	3	7530 Las Vegas Blvd. S.	(Warm Springs Rd.)	Las Vegas, NV 89123
0758	5	Mandalay Bay Resort	|	3950 Las Vegas Blvd. S.	(Mandalay Bay Rd.)	Las Vegas, NV 89119
0759	5	Bellagio Hotel	|	3600 Las Vegas Blvd. S.	(Flamingo Rd.)	Las Vegas, NV 89109
0760	5	Palazzo Hotel	|	3325 Las Vegas Blvd. S.	(Sands Ave.)	Las Vegas, NV 89109
0761	3	3925 Paradise Rd.	(Corporate Dr.)	Las Vegas, NV 89109
0762	5	Venetian Hotel	|	3355 Las Vegas Blvd. S.	(bet. Flamingo & Spring Mountain Rds.)	Las Vegas, NV 89109
0763	5	West Lake Plaza	|	4533 W. Sahara Ave.	(bet. Arville St. & Decatur Blvd.)	Las Vegas, NV 89102
0764	5	Paris Las Vegas	|	3655 Las Vegas Blvd. S.	(bet. Flamingo Rd. & Harmon Ave.)	Las Vegas, NV 89109
0765	5	Venetian Hotel	|	3355 Las Vegas Blvd. S.	(bet. Flamingo & Spring Mountain Rds.)	Las Vegas, NV 89109
0766	5	Palace Station Hotel	|	2411 W. Sahara Ave.	(Rancho Dr.)	Las Vegas, NV 89102
0767	3	8721 W. Charleston Blvd.	(bet. Durango Dr. & Rampart Blvd.)	Las Vegas, NV 89117
0768	5	Orleans Hotel	|	4500 W. Tropicana Ave.	(Arville St.)	Las Vegas, NV 89103
0769	5	Palms Casino Hotel	|	4321 W. Flamingo Rd.	(Arville St.)	Las Vegas, NV 89103
0770	3	4226 S. Durango Dr.	(Flamingo Rd.)	Las Vegas, NV 89147
0771	3	4155 S Buffalo Dr Ste 104	(Flamingo & Buffalo)	Las Vegas, NV 89147
0772	3	3987 Paradise Rd.	(Flamingo Rd.)	Las Vegas, NV 89109
0773	5	Summerhill Plaza	|	7501 W. Lake Mead Blvd.	(Buffalo Dr.)	Las Vegas, NV 89128
0774	2	2605 S Decatur Blvd Ste 103	Las Vegas, NV 89102
0775	5	Imperial Palace	|	3535 Las Vegas Blvd. S.	(Flamingo Rd.)	Las Vegas, NV 89109
0776	5	Four Queens Hotel	|	202 Fremont St.	(Casino Center Blvd.)	Las Vegas, NV 89101
0777	5	Caesars Palace	|	3570 Las Vegas Blvd. S.	(Flamingo Rd.)	Las Vegas, NV 89109
0778	5	Treasure Island Hotel	|	3300 Las Vegas Blvd. S.	(Spring Mountain Rd.)	Las Vegas, NV 89109
0779	5	Mirage Hotel	|	3400 Las Vegas Blvd. S.	(Spring Mountain Rd.)	Las Vegas, NV 89109
0780	5	Flamingo Las Vegas	|	3555 Las Vegas Blvd. S.	(Flamingo Rd.)	Las Vegas, NV 89109
0781	2	11770 W Charleston Blvd Ste 110	Las Vegas, NV 89135
0782	5	Aria	|	3730 Las Vegas Blvd. S	(Harmon Ave.)	Las Vegas, NV 89109
0783	5	Town Sq.	|	6605 Las Vegas Blvd. S.	(bet. I-215 & Sunset Rd.)	Las Vegas, NV 89119
0784	5	Treasure Island Hotel	|	3300 Las Vegas Blvd. S.	(Spring Mountain Rd.)	Las Vegas, NV 89109
0785	2	6375 S Rainbow Blvd Ste 102	Las Vegas, NV 89118
0786	5	Planet Hollywood Resort	|	3667 Las Vegas Blvd. S	(Harmon Ave.)	Las Vegas, NV 89109
0787	5	Beltway Corporate Ctr.	|	8975 S. Eastern Ave.	(I-215)	Las Vegas, NV 89123
0788	5	Hughes Ctr.	|	4043 Howard Hughes Pkwy.	(Flamingo Rd.)	Las Vegas, NV 89169
0789	5	Paris Las Vegas	|	3655 Las Vegas Blvd. S.	(bet. Flamingo Rd. & Harmon Ave.)	Las Vegas, NV 89109
0790	5	Aria	|	3730 Las Vegas Blvd. S.	(Harmon Ave.)	Las Vegas, NV 89109
0791	3	4864 W. Lone Mountain Rd.	(Decatur Blvd.)	Las Vegas, NV 89130
0792	3	3965 S. Decatur Blvd.	(Flamingo Rd.)	Las Vegas, NV 89103
0793	5	Centennial	|	7920 W. Tropical Pkwy.	(I-95)	Las Vegas, NV 89149
0794	3	2250 E. Warm Springs Rd.	(Eastern Ave.)	Las Vegas, NV 89119
0795	3	1395 E. Tropicana Ave.	(Maryland Pkwy.)	Las Vegas, NV 89119
0796	3	400 E. Flamingo Rd.	(Paradise Rd.)	Las Vegas, NV 89169
0797	2	3945 S Durango Dr Ste A6	Las Vegas, NV 89147
0798	5	New York-New York Hotel	|	3790 Las Vegas Blvd. S.	(Tropicana Ave.)	Las Vegas, NV 89109
0799	5	Hard Rock Hotel	|	4455 Paradise Rd.	(bet. Flamingo Rd. & Harmon Ave.)	Las Vegas, NV 89109
0800	5	Mandalay Bay Resort	|	3950 Las Vegas Blvd. S.	(Mandalay Bay Rd.)	Las Vegas, NV 89119
0801	5	Palms Casino Hotel	|	4321 W. Flamingo Rd., 51st fl.	(Arville St.)	Las Vegas, NV 89103
0802	3	2160 W. Charleston Blvd.	(Rancho Dr.)	Las Vegas, NV 89102
0803	5	Flamingo & Arville Plaza	|	4455 W. Flamingo Rd.	(Arville St.)	Las Vegas, NV 89103
0804	3	2985 Las Vegas Blvd. S.	(Convention Center Dr.)	Las Vegas, NV 89109
0805	5	Bellagio Hotel	|	3600 Las Vegas Blvd. S.	(Flamingo Rd.)	Las Vegas, NV 89109
0806	2	2833 N Green Vly	Las Vegas, NV 89101
0807	5	Planet Hollywood Resort	|	3667 Las Vegas Blvd. S.	(Harmon Ave.)	Las Vegas, NV 89109
0808	5	Venetian Hotel	|	3355 Las Vegas Blvd. S.	(bet. Flamingo & Spring Mountain Rds.)	Las Vegas, NV 89109
0809	2	3200 Las Vegas Blvd S Ste 1132	Las Vegas, NV 89109
0810	3	5030 Spring Mountain Rd.	(Decatur Blvd.)	Las Vegas, NV 89146
0811	5	Hard Rock Hotel	|	4455 Paradise Rd.	(bet. Flamingo Rd. & Harmon Ave.)	Las Vegas, NV 89169
0812	3	2001 N. Rainbow Blvd.	(Lake Mead Blvd.)	Las Vegas, NV 89108
0813	5	West Sahara Promenade	|	8125 W. Sahara Ave.	(bet. Buffalo Dr. & Cimarron Rd.)	Las Vegas, NV 89117
0814	3	620 E. Flamingo Rd.	(Swenson St.)	Las Vegas, NV 89119
0815	5	Chinatown Plaza	|	4215 Spring Mountain Rd.	(bet. Arville St. & Wynn Rd.)	Las Vegas, NV 89102
0816	2	4604 W Sahara Ave	Las Vegas, NV 89102
0817	5	Mandalay Bay Resort	|	3950 Las Vegas Blvd. S.	(Mandalay Bay Rd.)	Las Vegas, NV 89119
0818	3	21 Montauk Hwy.	(Cherry Ave.)	West Sayville, NY 11796
0819	2	42 Woodcleft Ave	Freeport, NY 11520
0820	2	1540 Montauk Hwy	Sayville, NY 11782
0821	2	2074 Jericho Tpke	East Northport, NY 11731
0822	2	2863 Woods Ave	Oceanside, NY 11572
0823	3	400 Glen Cove Ave.	(Glenola Ave.)	Sea Cliff, NY 11579
0824	3	2028 N. Country Rd.	(bet. N. Wading River & Sound Rds.)	Wading River, NY 11792
0825	3	80 E. Main St.	(bet. Hauppauge Rd. & Maple Ave.)	Smithtown, NY 11787
0826	2	216 Laurel Rd	East Northport, NY 11731
0827	2	94 South St	Oyster Bay, NY 11771
0828	2	2701 Merrick Rd	Bellmore, NY 11710
0829	2	1401 Old Northern Blvd	Roslyn, NY 11576
0830	3	90 Deer Park Ave.	(bet. Grove Pl. & Main St.)	Babylon, NY 11702
0831	2	1 W Main St	Babylon, NY 11702
0832	2	65 Merrick Rd Ste A	Amityville, NY 11701
0833	3	636 Franklin Ave.	(bet. 6th & 7th Sts.)	Garden City, NY 11530
0834	3	66 Newtown Ln.	(bet. Main St. & Osborne Ln.)	East Hampton, NY 11937
0835	3	275 Jericho Tpke.	(Burke Ln.)	Syosset, NY 11791
0836	2	Sunrse Hwy & Cntrl A	Baldwin, NY 11510
0837	3	47 Montauk Hwy.	(bet. Baiting Hollow & Cove Hollow Rds.)	East Hampton, NY 11937
0838	2	78 Foster Ave	Hampton Bays, NY 11946
0839	2	2793 Merrick Rd	Bellmore, NY 11710
0840	3	159 S. Country Rd.	(bet. Station Rd. & Woodruff St.)	Bellport, NY 11713
0841	3	23 Birch Hill Rd.	(bet. Elm St. & Forest Ave.)	Locust Valley, NY 11560
0842	2	36 Laurel Rd	East Northport, NY 11731
0843	3	79 N. Long Beach Rd.	(Sunrise Hwy.)	Rockville Centre, NY 11570
0844	3	553 Old Montauk Hwy.	(Broadway Ave.)	Sayville, NY 11782
0845	3	335 Main St.	(Carley Ave.)	Huntington, NY 11743
0846	2	1000 Old Country Rd	Plainview, NY 11803
0847	3	26 N. Park Ave.	(bet. Merrick Rd. & Sunrise Hwy.)	Rockville Centre, NY 11570
0848	2	42 E Montauk Hwy	Hampton Bays, NY 11946
0849	2	1580 Hempstead Tpke	East Meadow, NY 11554
0850	2	555 Route 111	Hauppauge, NY 11788
0851	2	90 N Country Rd	Miller Place, NY 11764
0852	3	Main St.	(School St.)	Bridgehampton, NY 11932
0853	3	23 Atlantic Ave.	(bet. Merrick Rd. & Sunrise Hwy.)	Lynbrook, NY 11563
0854	5	Stony Brook Village Ctr.	|	123 Main St.	(bet. Christian Ave. & Rte. 25A)	Stony Brook, NY 11790
0855	2	34 Middle Neck Rd	Great Neck, NY 11021
0856	3	31 Forest Ave.	(bet. Birch Hill Rd. & Weir Ln.)	Locust Valley, NY 11560
0857	3	1175 W. Main St.	(Mill Rd.)	Riverhead, NY 11901
0858	2	1966 Deer Park Ave	Deer Park, NY 11729
0859	3	143 Nassau Blvd. S.	(7th St.)	Garden City, NY 11552
0860	2	225 Main St Ste A	Northport, NY 11768
0861	2	49 N Village Ave	Rockville Centre, NY 11570
0862	3	294 N. Broadway	(16th St.)	Hicksville, NY 11801
0863	3	20 South Station Plaza	(bet. Barstow & S. Middle Neck Rds.)	Great Neck, NY 11021
0864	2	730 Smithtown Bypass	Smithtown, NY 11787
0865	3	1033 Jericho Tpke.	(Cornell Dr.)	Smithtown, NY 11787
0866	2	363 S Oyster Bay Rd	Plainview, NY 11803
0867	2	12 Manetto Hill Mall	Plainview, NY 11803
0868	3	77 Middle Neck Rd.	(bet. Cedar Dr. & Grace Ave.)	Great Neck, NY 11021
0869	2	253 W Park Ave	Long Beach, NY 11561
0870	3	901 Broad Hollow Rd.	(Rte. 109)	Farmingdale, NY 11735
0871	3	367 Central Ave.	(Frost Ln.)	Lawrence, NY 11559
0872	3	47 E. Main St.	(bet. Bank & Landing Aves.)	Smithtown, NY 11787
0873	2	33 Montauk Hwy Ste D	Blue Point, NY 11715
0874	3	149 S. Franklin Ave.	(Station Plaza)	Valley Stream, NY 11580
0875	3	156 Davison Ave.	(Oceanside Rd.)	Oceanside, NY 11572
0876	5	Saks Fifth Avenue, Walt Whitman Mall	|	230 Walt Whitman Rd.	(Weston St.)	Huntington Station, NY 11746
0877	3	1080 Corporate Dr.	(bet. Ellison Ave. & Zeckendorf Blvd.)	Westbury, NY 11590
0878	3	111 Main St.	(bet. Front St. & Greenport Harbor)	Greenport, NY 11944
0879	3	22 Pine Hollow Rd.	(bet. High St. & Lexington Ave.)	Oyster Bay, NY 11771
0880	2	1203 Broadway	Hewlett, NY 11557
0881	3	149 Main St.	(Library Ave.)	Westhampton Beach, NY 11978
0882	5	Lake Success Shopping Ctr.	|	1570 Union Tpke.	(New Hyde Park Rd.)	New Hyde Park, NY 11040
0883	2	4163 Austin Blvd	Island Park, NY 11558
0884	2	255 Middle Country Rd	Centereach, NY 11720
0885	2	33 Alhambra Rd	Massapequa, NY 11758
0886	5	Water Mill Shoppes	|	760 Montauk Hwy., Ste. 5C	(bet. Nowedonah Ave. & Station Rd.)	Water Mill, NY 11976
0887	3	43 Rockaway Ave.	(E. Lincoln Ave.)	Valley Stream, NY 11580
0888	3	12 N. Park Ave.	(bet. Merrick Rd. & Sunrise Hwy.)	Rockville Centre, NY 11570
0889	2	105 W Montauk Hwy	Hampton Bays, NY 11946
0890	2	94 E Main St	Babylon, NY 11702
0891	3	62 Jobs Ln.	(S. Main St.)	Southampton, NY 11968
0892	3	23 Woodcleft Ave.	(Front St.)	Freeport, NY 11520
0893	3	8 Bond St.	(bet. Grace Ave. & N. Station Plaza)	Great Neck, NY 11021
0894	2	590 Central Ave	Cedarhurst, NY 11516
0895	2	514 Park Blvd	Massapequa Park, NY 11762
0896	3	284 Glen St.	(bet. Elm & Hendrick Aves.)	Glen Cove, NY 11542
0897	3	400 New York Ave.	(bet. Carver & Fairview Sts.)	Huntington, NY 11743
0898	3	716 Smithtown Bypass	(Terry Rd.)	Smithtown, NY 11787
0899	2	868 Horseblock Rd	Farmingville, NY 11738
0900	5	Gone Fishing Marina	|	467 E. Lake Dr.	(opp. Montauk Airport)	Montauk, NY 11954
0901	5	Nassau Mall	|	3601 Hempstead Tpke.	(Wantaugh Ave.)	Levittown, NY 11756
0902	3	58 W. Jericho Tpke.	(bet. Haskett & Oak Drs.)	Syosset, NY 11791
0903	2	127 Main St	Westhampton Beach, NY 11978
0904	2	3 E Main St	Patchogue, NY 11772
0905	2	480 Plandome Rd	Manhasset, NY 11030
0906	2	3968 Hempstead Tpke	Bethpage, NY 11714
0907	2	200 Jericho Tpke	Commack, NY 11725
0908	5	Woodbury Common	|	8285 Jericho Tpke.	(Woodbury Rd.)	Woodbury, NY 11797
0909	2	688 Central Ave	Cedarhurst, NY 11516
0910	3	160 Adams Ave.	(bet. Arkay & Commerce Drs.)	Hauppauge, NY 11788
0911	2	2716 Hempstead Tpke	Levittown, NY 11756
0912	3	150 Hicksville Rd.	(Hempstead Tpke.)	Bethpage, NY 11714
0913	2	21 Oakland Ave	Port Jefferson, NY 11777
0914	3	116 Division St.	(bet. Clare Rose Blvd. & River Ave.)	Patchogue, NY 11772
0915	3	84 Old Shore Rd.	(Shore Rd.)	Port Washington, NY 11050
0916	3	416 S. Broadway	(Boehme St.)	Hicksville, NY 11801
0917	3	340 Woodcleft Ave.	(bet. Atlantic & Guy Lombardo Aves.)	Freeport, NY 11520
0918	3	1042 Northern Blvd.	(bet. Cedar Path & Searingtown Rd.)	Roslyn Estates, NY 11576
0919	3	366 Hempstead Ave.	(Arlington Ave.)	Malverne, NY 11565
0920	2	6 5th St	Valley Stream, NY 11581
0921	2	127 Montauk Hwy	Lindenhurst, NY 11757
0922	3	38 Hillside Ave.	(Nassau Blvd.)	Williston Park, NY 11596
0923	5	Elwood Plaza	|	1965 Jericho Tpke.	(Elwood Rd.)	East Northport, NY 11731
0924	3	22 E. Park Ave.	(bet. Edwards & Riverside Blvds.)	Long Beach, NY 11561
0925	3	532 N. Country Rd.	(Lake Ave.)	St. James, NY 11780
0926	3	86 Deer Park Ave.	(Main St.)	Babylon, NY 11702
0927	5	Manetto Hill Mall	|	18 Manetto Hill Rd.	(Washington Ave.)	Plainview, NY 11803
0928	2	70 E Village Grn	Levittown, NY 11756
0929	3	660 Franklin Ave.	(7th St.)	Garden City, NY 11530
0930	3	67 W. Main St.	(bet. Karl & Maple Aves.)	Smithtown, NY 11787
0931	5	Crossroads Shopping Ctr.	|	1137 Old Country Rd.	(Manetto Hill Rd.)	Plainview, NY 11803
0932	3	47 Shore Rd.	(bet. Mill Pond & Old Shore Rds.)	Port Washington, NY 11050
0933	2	34 Vanderbilt Motor Pkw	Commack, NY 11725
0934	2	13 E Main St	Patchogue, NY 11772
0935	2	3116 Lawson Blvd	Oceanside, NY 11572
0936	2	60 Atlantic Ave	Oceanside, NY 11572
0937	2	3240 Sunrise Hwy	Wantagh, NY 11793
0938	2	345 Deer Park Ave	Babylon, NY 11702
0939	3	243 Old Walt Whitman Rd.	(bet. Chichester Rd. & Livingston St.)	Huntington Station, NY 11746
0940	3	240 Love Ln.	(bet. Main Rd./Rte. 25 & Pike St.)	Mattituck, NY 11952
0941	3	101 E. Main St.	(bet. Bellemeade & Landing Aves.)	Smithtown, NY 11787
0942	2	526 Middle Neck Rd	Great Neck, NY 11023
0943	2	401 Central Ave	Bethpage, NY 11714
0944	2	435 Plandome Rd	Manhasset, NY 11030
0945	2	19 Hicksville Rd	Massapequa, NY 11758
0946	5	Gensel Shopping Ctr.	|	526 Jericho Tpke.	(bet. Herricks & Wardwell Rds.)	Mineola, NY 11501
0947	2	275 Merrick Rd	Lynbrook, NY 11563
0948	2	3213 Horseblock Rd	Medford, NY 11763
0949	5	Southgate Shopping Ctr.	|	4958 Merrick Rd.	(Whitewood Dr.)	Massapequa Park, NY 11762
0950	3	14 Station Rd.	(S. Country Rd.)	Bellport, NY 11713
0951	2	104 E Main St	East Islip, NY 11730
0952	2	195 Manorhaven Blvd	Port Washington, NY 11050
0953	3	275 Bayville Ave.	(Pine Park Ave.)	Bayville, NY 11709
0954	5	Three Village Inn	|	150 Main St.	(Shore Rd.)	Stony Brook, NY 11790
0955	3	2756 Long Beach Rd.	(Harrison Ave.)	Oceanside, NY 11572
0956	3	13 Atlantic Ave.	(South Main St.)	Freeport, NY 11520
0957	2	30 E Main St # 32	Babylon, NY 11702
0958	3	301 Main St.	(bet. Green & New Sts.)	Huntington, NY 11743
0959	3	126 Main St.	(bet. Nassau & Spring Sts.)	Sag Harbor, NY 11963
0960	3	136 N. Main St.	(bet. Cedar St. & Miller Terrace)	East Hampton, NY 11937
0961	3	136 Front St.	(bet. 1st & Main Sts.)	Greenport, NY 11944
0962	2	2194 Nesconset Hwy	Stony Brook, NY 11790
0963	3	44780 North Rd./Rte. 48	(bet. Hortons Ln. & Youngs Ave.)	Southold, NY 11971
0964	3	552 N. Country Rd.	(bet. Acron Rd. & Lake Ave.)	St. James, NY 11780
0965	3	1940 Bellmore Ave.	(bet. Beltagh Ave. & Natta Blvd.)	Bellmore, NY 11710
0966	5	Sun Dek Marina	|	264 West Ave.	(Mulford St.)	Patchogue, NY 11772
0967	2	1551 Montauk Hwy	Oakdale, NY 11769
0968	3	6145 Franklin Ave.	(bet. Argyle Ave. & Gower St.)	Hollywood, CA 90028
0969	3	1025 S. Baldwin Ave.	(Arcadia Ave.)	Arcadia, CA 91007
0970	3	2100 W. Oceanfront	(21st St.)	Newport Beach, CA 92663
0971	3	230 Forest Ave.	(PCH)	Laguna Beach, CA 92651
0972	2	580 W 1st St	Claremont, CA 91711
0973	3	410 Boyd St.	(San Pedro St.)	Los Angeles, CA 90013
0974	2	1087 Manzanita St	Los Angeles, CA 90029
0975	3	8022 W. Third St.	(bet. Crescent Heights Blvd. & Fairfax Ave.)	Los Angeles, CA 90048
0976	2	1565 Adams Ave	Costa Mesa, CA 92626
0977	2	4444 W Sunset Blvd	Los Angeles, CA 90027
0978	3	29100 Agoura Rd.	(Cornell Rd.)	Agoura Hills, CA 91301
0979	3	1830 Main St.	(MacArthur Blvd.)	Irvine, CA 92614
0980	2	1013 Fair Oaks Ave	South Pasadena, CA 91030
0981	2	15112 Inglewood Ave	Lawndale, CA 90260
0982	2	6145 Long Beach Blvd	Long Beach, CA 90805
0983	2	659 E Arrow Hwy	Azusa, CA 91702
0984	2	9034 Tampa Ave	Northridge, CA 91324
0985	2	2372 Pacific Coast Hwy	Lomita, CA 90717
0986	2	2336 Park Ave	Tustin, CA 92782
0987	2	6114 W Sunset Blvd	Hollywood, CA 90028
0988	2	4861 Topanga Canyon Blvd	Woodland Hills, CA 91364
0989	2	2645 Main St	Santa Monica, CA 90405
0990	2	22721 Ventura Blvd	Woodland Hills, CA 91364
0991	3	460 Ocean Ave	(Forest Ave.)	Laguna Beach, CA 92651
0992	3	2460 Wilshire Blvd.	(25th St.)	Santa Monica, CA 90403
0993	2	8735 W 3rd St	Los Angeles, CA 90048
0994	3	840 S. Spring St.	(bet. 8th & 9th Sts.)	Los Angeles, CA 90014
0995	2	528 N Montebello Blvd	Montebello, CA 90640
0996	2	10200 Venice Blvd Ste 101	Culver City, CA 90232
0997	3	7470 Melrose Ave.	(bet. Fairfax & La Brea Aves.)	Los Angeles, CA 90046
0998	2	435 S Los Angeles St	Los Angeles, CA 90013
0999	2	5119 W El Segundo Blvd	Hawthorne, CA 90250
1000	3	2903 W. Sunset Blvd.	(bet. Reno St. & Silver Lake Blvd.)	Los Angeles, CA 90026
1001	5	Rancho Park Plaza	|	2530 Overland Ave.	(bet. Ayres & Cushdon Aves.)	West LA, CA 90064
1002	3	536 S. Arroyo Pkwy.	(California Blvd.)	Pasadena, CA 91105
1003	2	8813 Lakewood Blvd	Downey, CA 90240
1004	3	2027 Sawtelle Blvd.	(bet. La Grange & Mississippi Aves.)	West LA, CA 90025
1005	5	Mondrian Hotel	|	8440 Sunset Blvd.	(bet. La Cienega Blvd. & Olive Dr.)	West Hollywood, CA 90069
1006	2	1388 Westwood Blvd	Los Angeles, CA 90024
1007	3	2497 Park Ave.	(Jamboree Rd.)	Tustin, CA 92782
1008	2	3923 Portola Pkwy	Irvine, CA 92602
1009	3	7953 Santa Monica Blvd.	(Hayworth Ave.)	West Hollywood, CA 90046
1010	2	245 W Valley Blvd	Alhambra, CA 91801
1011	2	416 N Lakeview Ave	Anaheim, CA 92807
1012	2	311 Washington Blvd	Marina del Rey, CA 90292
1013	3	14010 Ventura Blvd.	(bet. Murietta & Costello Aves.)	Sherman Oaks, CA 91423
1014	3	535 W. Valley Blvd.	(New Ave.)	San Gabriel, CA 91776
1015	3	23508 Calabasas Rd.	(Valley Circle Blvd.)	Calabasas, CA 91302
1016	3	109 Santa Monica Blvd.	(Ocean Ave.)	Santa Monica, CA 90401
1017	5	Beverly Hilton, The	|	9876 Wilshire Blvd.	(Santa Monica Blvd.)	Beverly Hills, CA 90210
1018	5	Brentwood Country Mart	|	225 26th St.	(San Vicente Blvd.)	Santa Monica, CA 90402
1019	3	3459 N. Verdugo Rd.	(bet. Oceanview & Sunview Blvds.)	Montrose, CA 91208
1020	3	217 Marine Ave.	(Park Ave.)	Newport Beach, CA 92662
1021	3	8475 Melrose Pl.	(La Cienega Blvd.)	West Hollywood, CA 90069
1022	3	563 W Los Angeles Ave	(Change Name to Cafe Firenze)	Moorpark, CA 93021
1023	3	1607 Sepulveda Blvd.	(Western Ave.)	Torrance, CA 90501
1024	3	131½ Main St.	(bet. Central & Ocean Aves.)	Seal Beach, CA 90740
1025	3	822 Washington Blvd.	(Abbot Kinney Blvd.)	Marina del Rey, CA 90292
1026	3	662 N. Sepulveda Blvd.	(bet. Moraga Dr. & Ovada Pl.)	Bel-Air, CA 90049
1027	3	11849 Foothill Blvd	(SW corner with Rochester)	Rancho Cucamonga, CA 91730
1028	3	25 39th Pl.	(1 block south of Ocean Blvd.)	Long Beach, CA 90803
1029	2	747 N La Cienega Blvd	West Hollywood, CA 90069
1030	3	38 N. La Cienega Blvd.	(Wilshire Blvd.)	Beverly Hills, CA 90211
1031	3	6350 Hollywood Blvd.	(Ivar Ave.)	Hollywood, CA 90028
1032	3	5051 Hollywood Blvd	(Mariposa)	Los Angeles, CA 90027
1033	3	11326 W. Pico Blvd.	(Sawtelle Blvd.)	West LA, CA 90064
1034	3	12950 Ventura Blvd.	(Coldwater Canyon Ave.)	Studio City, CA 91604
1035	5	Lakeside Ctr.	|	345 N. Pass Ave.	(Rte. 134)	Burbank, CA 91505
1036	5	Pacific Electric Lofts	|	126 E. Sixth St.	(bet. Los Angeles & Main Sts.)	Los Angeles, CA 90014
1037	2	1415 Montana Ave	Santa Monica, CA 90403
1038	2	10740 Wilshire Blvd	Los Angeles, CA 90024
1039	2	100 S California Ave Ste A	West Covina, CA 91790
1040	3	742 W. Valley Blvd.	(bet. 7th & 8th Sts.)	Alhambra, CA 91803
1041	3	12345 Ventura Blvd.	(Whitsett Ave.)	Studio City, CA 91604
1042	3	3737 Cahuenga Blvd.	(Lankershim Blvd.)	Studio City, CA 91604
1043	3	12021 W. Pico Blvd.	(Bundy Dr.)	West LA, CA 90064
1044	3	8690 Wilshire Blvd.	(bet. Hamel & Willaman Drs.)	Beverly Hills, CA 90211
1045	5	Thompson Beverly Hills Hotel	|	9360 Wilshire Blvd.	(Crescent Dr.)	Beverly Hills, CA 90212
1046	3	1280 N. Lake Ave.	(Washington Blvd.)	Pasadena, CA 91104
1047	2	9036 Burton Way	Beverly Hills, CA 90211
1048	3	270A S. La Cienega Blvd.	(Gregory Way)	Beverly Hills, CA 90211
1049	2	26543 Bouquet Canyon Rd	Santa Clarita, CA 91350
1050	2	26 22nd St	Hermosa Beach, CA 90254
1051	2	515 Long Beach Blvd	Long Beach, CA 90802
1052	5	London West Hollywood	|	1020 N. San Vicente Blvd.	(Sunset Blvd.)	West Hollywood, CA 90069
1053	3	22757 Ventura Blvd.	(Fallbrook Ave.)	Woodland Hills, CA 91364
1054	5	Fashion Island	|	327 Newport Center Dr.	(San Miguel Dr.)	Newport Beach, CA 92660
1055	3	1319 Third St. Promenade	(bet. Arizona Ave. & Santa Monica Blvd.)	Santa Monica, CA 90401
1056	3	19565 Parthenia St.	(bet. Corbin & Shirley Aves.)	Northridge, CA 91324
