book	barnesandnoble	publication_date
1639	1	Pub. Date: July 2008
1640	1	Pub. Date: September 1998
1641	1	Pub. Date: October 2009
1642	1	Pub. Date: November 2002
1643	1	Pub. Date: April 2009
1644	1	Pub. Date: June 2007
1645	1	Pub. Date: December 2009
1646	1	Pub. Date: June 2000
1647	1	Pub. Date: May 2010
1648	1	Pub. Date: January 1999
1649	1	Pub. Date: April 1977
1650	1	Pub. Date: April 2006
1651	1	Pub. Date: May 2009
1652	1	Pub. Date: January 2003
1653	1	Pub. Date: March 2009
1654	1	Pub. Date: June 1993
1655	1	Pub. Date: October 2007
1656	1	Pub. Date: January 2009
1657	1	Pub. Date: August 2001
1658	1	Pub. Date: November 2006
1659	1	Pub. Date: December 2005
1660	1	Pub. Date: April 2005
1661	1	Pub. Date: August 2007
1662	1	Pub. Date: June 1989
1663	1	Pub. Date: October 2008
1664	1	Pub. Date: November 2001
1665	1	Pub. Date: January 2009
1666	1	Pub. Date: February 2007
1667	1	Pub. Date: October 2009
1668	1	Pub. Date: July 2007
1669	1	Pub. Date: October 2004
1670	1	Pub. Date: October 2005
1671	1	Pub. Date: February 2010
1672	1	Pub. Date: October 2009
1673	1	Pub. Date: August 2004
1674	1	Pub. Date: October 2006
1675	1	Pub. Date: May 2008
1676	1	Pub. Date: May 2008
1677	1	Pub. Date: March 2006
1678	1	Pub. Date: April 2009
1679	1	Pub. Date: October 2008
1680	1	Pub. Date: July 2004
1681	1	Pub. Date: March 2008
1682	1	Pub. Date: May 2009
1683	1	Pub. Date: October 2009
1684	1	Pub. Date: May 2010
1685	1	Pub. Date: March 2005
1686	1	Pub. Date: March 2006
1687	1	Pub. Date: February 2008
1688	1	Pub. Date: May 2009
1689	1	Pub. Date: May 2010
1690	1	Pub. Date: May 2010
1691	1	Pub. Date: September 2009
1692	1	Pub. Date: January 2009
1693	1	Pub. Date: May 2006
1694	1	Pub. Date: November 2009
1695	1	Pub. Date: September 2009
1696	1	Pub. Date: November 2009
1697	1	Pub. Date: January 2008
1698	1	Pub. Date: September 2001
1699	1	Pub. Date: December 1981
1700	1	Pub. Date: June 2007
1701	1	Pub. Date: November 2009
1702	1	Pub. Date: October 1997
1703	1	Pub. Date: March 2007
1704	1	Pub. Date: May 2005
1705	1	Pub. Date: March 1990
1706	1	Pub. Date: March 2002
1707	1	Pub. Date: March 2009
1708	1	Pub. Date: February 2010
1709	1	Pub. Date: February 2010
1710	1	Pub. Date: June 2002
1711	1	Pub. Date: November 2003
1712	1	Pub. Date: April 2010
1713	1	Pub. Date: November 2006
1714	1	Pub. Date: April 2010
1715	1	Pub. Date: February 1992
1716	1	Pub. Date: May 2004
1717	1	Pub. Date: March 1998
1718	1	Pub. Date: September 1997
1719	1	Pub. Date: September 2009
1720	1	Pub. Date: September 2009
1721	1	Pub. Date: April 1982
1722	1	Pub. Date: February 2007
1723	1	Pub. Date: December 2005
1724	1	Pub. Date: September 2007
1725	1	Pub. Date: December 2009
1726	1	Pub. Date: March 2008
1727	1	Pub. Date: September 2005
1728	1	Pub. Date: August 2009
1729	1	Pub. Date: February 2010
1730	1	Pub. Date: April 2004
1731	1	Pub. Date: February 2003
1732	1	Pub. Date: November 1992
1733	1	Pub. Date: September 2009
1734	1	Pub. Date: September 1983
1735	1	Pub. Date: May 2010
1736	1	Pub. Date: May 2009
1737	1	Pub. Date: March 2008
1738	1	Pub. Date: June 2008
1739	1	Pub. Date: February 2010
1740	1	Pub. Date: October 1962
1741	1	Pub. Date: April 2010
1742	1	Pub. Date: April 2008
1743	1	Pub. Date: June 2010
1744	1	Pub. Date: November 2005
1745	1	Pub. Date: February 2010
1746	1	Pub. Date: November 2001
1747	1	Pub. Date: July 13, 2010
1748	1	Pub. Date: January 2009
1749	1	Pub. Date: October 2008
1750	1	Pub. Date: May 2008
1751	1	Pub. Date: December 2007
1752	1	Pub. Date: July 1992
1753	1	Pub. Date: October 2007
1754	1	Pub. Date: February 2009
1755	1	Pub. Date: January 2007
1756	1	Pub. Date: December 2005
1757	1	Pub. Date: August 2002
1758	1	Pub. Date: September 2004
1759	1	Pub. Date: September 2009
1760	1	Pub. Date: December 2006
1761	1	Pub. Date: September 1979
1762	1	Pub. Date: October 2009
1763	1	Pub. Date: January 2005
1764	1	Pub. Date: May 2010
1765	1	Pub. Date: April 2010
1766	1	Pub. Date: January 2000
1767	1	Pub. Date: June 2010
1768	1	Pub. Date: October 2009
1769	1	Pub. Date: May 2008
1770	1	Pub. Date: January 2009
1771	1	Pub. Date: May 2005
1772	1	Pub. Date: July 2003
1773	1	Pub. Date: May 2010
1774	1	Pub. Date: December 2008
1775	1	Pub. Date: May 2005
1776	1	Pub. Date: February 2007
1777	1	Pub. Date: May 2010
1778	1	Pub. Date: August 2009
1779	1	Pub. Date: May 2003
1780	1	Pub. Date: February 2009
1781	1	Pub. Date: September 2003
1782	1	Pub. Date: April 2007
1783	1	Pub. Date: February 2007
1784	1	Pub. Date: February 2009
1785	1	Pub. Date: January 1991
1786	1	Pub. Date: November 2005
1787	1	Pub. Date: July 1998
1788	1	Pub. Date: April 2007
1789	1	Pub. Date: May 2009
1790	1	Pub. Date: October 2006
1791	1	Pub. Date: August 1971
1792	1	Pub. Date: September 1996
1793	1	Pub. Date: March 2010
1794	1	Pub. Date: July 27, 2010
1795	1	Pub. Date: December 2009
1796	1	Pub. Date: May 2010
1797	1	Pub. Date: July 2009
1798	1	Pub. Date: June 2009
1799	1	Pub. Date: April 2010
1800	1	Pub. Date: June 2010
1801	1	Pub. Date: July 2002
1802	1	Pub. Date: January 2010
1803	1	Pub. Date: July 2010
1804	1	Pub. Date: September 1993
1805	1	Pub. Date: February 2009
1806	1	Pub. Date: October 2008
1807	1	Pub. Date: May 2010
1808	1	Pub. Date: October 2006
1809	1	Pub. Date: March 2010
1810	1	Pub. Date: January 2010
1811	1	Pub. Date: July 2001
1812	1	Pub. Date: November 2008
1813	1	Pub. Date: June 2010
1814	1	Pub. Date: December 2005
1815	1	Pub. Date: July 2005
1816	1	Pub. Date: August 2006
1817	1	Pub. Date: April 2003
1818	1	Pub. Date: June 2009
1819	1	Pub. Date: December 2009
1820	1	Pub. Date: April 2008
1821	1	Pub. Date: December 1995
1822	1	Pub. Date: January 2010
1823	1	Pub. Date: January 2007
1824	1	Pub. Date: April 2005
1825	1	Pub. Date: April 2010
1826	1	Pub. Date: May 2009
1827	1	Pub. Date: May 2008
1828	1	Pub. Date: February 2007
1829	1	Pub. Date: May 2007
1830	1	Pub. Date: July 2006
1831	1	Pub. Date: March 2009
1832	1	Pub. Date: February 2006
1833	1	Pub. Date: September 2009
1834	1	Pub. Date: October 2003
1835	1	Pub. Date: October 1990
1836	1	Pub. Date: April 2009
1837	1	Pub. Date: January 2010
1838	1	Pub. Date: April 2010
1839	1	Pub. Date: October 2009
1840	1	Pub. Date: November 2002
1841	1	Pub. Date: May 2009
1842	1	Pub. Date: October 2005
1843	1	Pub. Date: December 2007
1844	1	Pub. Date: June 2010
1845	1	Pub. Date: December 2005
1846	1	Pub. Date: January 1938
1847	1	Pub. Date: September 14, 2010
1848	1	Pub. Date: February 2007
1849	1	Pub. Date: June 2010
1850	1	Pub. Date: January 2008
1851	1	Pub. Date: August 2006
1852	1	Pub. Date: December 2009
1853	1	Pub. Date: April 2010
1854	1	Pub. Date: September 2004
1855	1	Pub. Date: March 2006
1856	1	Pub. Date: June 2009
1857	1	Pub. Date: March 2005
1858	1	Pub. Date: April 2007
1859	1	Pub. Date: November 2004
1860	1	Pub. Date: May 2010
1861	1	Pub. Date: July 2003
1862	1	Pub. Date: May 2009
1863	1	Pub. Date: October 2009
1864	1	Pub. Date: September 2008
1865	1	Pub. Date: October 2009
1866	1	Pub. Date: July 2008
1867	1	Pub. Date: August 03, 2010
1868	1	Pub. Date: May 2010
1869	1	Pub. Date: December 2008
1870	1	Pub. Date: November 2005
1871	1	Pub. Date: March 2002
1872	1	Pub. Date: October 2009
1873	1	Pub. Date: July 2009
1874	1	Pub. Date: January 1994
1875	1	Pub. Date: October 2008
1876	1	Pub. Date: May 2008
1877	1	Pub. Date: April 2010
1878	1	Pub. Date: September 2009
1879	1	Pub. Date: January 2005
1880	1	Pub. Date: June 2004
1881	1	Pub. Date: September 2009
1882	1	Pub. Date: August 1999
1883	1	Pub. Date: September 2005
1884	1	Pub. Date: July 2000
1885	1	Pub. Date: May 1999
1886	1	Pub. Date: November 2004
1887	1	Pub. Date: September 2009
1888	1	Pub. Date: January 2010
1889	1	Pub. Date: March 2010
1890	1	Pub. Date: December 2009
1891	1	Pub. Date: November 2003
1892	1	Pub. Date: August 2005
1893	1	Pub. Date: October 2009
1894	1	Pub. Date: January 2009
1895	1	Pub. Date: March 2009
1896	1	Pub. Date: July 1980
1897	1	Pub. Date: February 2010
1898	1	Pub. Date: August 2008
1899	1	Pub. Date: January 2008
1900	1	Pub. Date: December 2009
1901	1	Pub. Date: March 2009
1902	1	Pub. Date: April 2003
1903	1	Pub. Date: February 2010
1904	1	Pub. Date: June 2010
1905	1	Pub. Date: June 2010
1906	1	Pub. Date: October 2000
1907	1	Pub. Date: April 2010
1908	1	Pub. Date: March 2007
1909	1	Pub. Date: June 2007
1910	1	Pub. Date: April 2009
1911	1	Pub. Date: August 2002
1912	1	Pub. Date: September 2009
1913	1	Pub. Date: April 2010
1914	1	Pub. Date: April 2010
1915	1	Pub. Date: October 2009
1916	1	Pub. Date: August 2009
1917	1	Pub. Date: September 2005
1918	1	Pub. Date: May 1930
1919	1	Pub. Date: January 1981
1920	1	Pub. Date: April 2007
1921	1	Pub. Date: February 2009
1922	1	Pub. Date: September 2009
1923	1	Pub. Date: January 2000
1924	1	Pub. Date: May 2003
1925	1	Pub. Date: June 2007
1926	1	Pub. Date: April 2008
1927	1	Pub. Date: June 2009
1928	1	Pub. Date: March 2002
1929	1	Pub. Date: January 1991
1930	1	Pub. Date: May 2008
1931	1	Pub. Date: June 2008
1932	1	Pub. Date: September 1990
1933	1	Pub. Date: September 2008
1934	1	Pub. Date: December 2009
1935	1	Pub. Date: October 2003
1936	1	Pub. Date: May 2010
1937	1	Pub. Date: April 2001
1938	1	Pub. Date: January 2010
1939	1	Pub. Date: October 2005
1940	1	Pub. Date: August 2002
1941	1	Pub. Date: April 2009
1942	1	Pub. Date: December 2008
1943	1	Pub. Date: August 2009
1944	1	Pub. Date: March 2002
1945	1	Pub. Date: April 2009
1946	1	Pub. Date: January 1994
1947	1	Pub. Date: February 2010
1948	1	Pub. Date: September 1998
1949	1	Pub. Date: January 1980
1950	1	Pub. Date: October 2005
1951	1	Pub. Date: November 1999
1952	1	Pub. Date: March 2010
1953	1	Pub. Date: December 2006
1954	1	Pub. Date: May 2008
1955	1	Pub. Date: September 2002
1956	1	Pub. Date: February 2007
1957	1	Pub. Date: April 2002
1958	1	Pub. Date: June 2010
1959	1	Pub. Date: June 2010
1960	1	Pub. Date: February 2006
1961	1	Pub. Date: July 2004
1962	1	Pub. Date: April 2010
1963	1	Pub. Date: March 2010
1964	1	Pub. Date: March 2010
1965	1	Pub. Date: August 2004
1966	1	Pub. Date: April 2007
1967	1	Pub. Date: May 2003
1968	1	Pub. Date: March 2010
1969	1	Pub. Date: October 2008
1970	1	Pub. Date: October 1998
1971	1	Pub. Date: June 2010
1972	1	Pub. Date: September 2003
1973	1	Pub. Date: August 2005
1974	1	Pub. Date: December 2008
1975	1	Pub. Date: August 2007
1976	1	Pub. Date: April 2008
1977	1	Pub. Date: August 1972
1978	1	Pub. Date: April 2008
1979	1	Pub. Date: April 2008
1980	1	Pub. Date: February 2010
1981	1	Pub. Date: June 2008
1982	1	Pub. Date: November 2002
1983	1	Pub. Date: May 2003
1984	1	Pub. Date: September 2009
1985	1	Pub. Date: January 2010
1986	1	Pub. Date: July 1995
1987	1	Pub. Date: February 2008
1988	1	Pub. Date: February 2006
1989	1	Pub. Date: December 1999
1990	1	Pub. Date: February 2010
1991	1	Pub. Date: May 2007
1992	1	Pub. Date: January 2010
1993	1	Pub. Date: June 2010
1994	1	Pub. Date: April 2001
1995	1	Pub. Date: October 2009
1996	1	Pub. Date: January 2001
1997	1	Pub. Date: August 2007
1998	1	Pub. Date: November 2009
1999	1	Pub. Date: March 2001
