book	waterstones	publisher
1811	1	Oxford University Press
1812	1	Token Publishing Ltd
1813	1	Penguin Classics
1814	1	Chambers
1815	1	Profile Books Ltd
1816	1	Oxford University Press
1817	1	Birlinn Ltd
1818	1	Collins
1819	1	Coordination Group Publications Ltd (CGP)
1820	1	Oxford University Press
1821	1	HarperPerennial
1822	1	Penguin Books Ltd
1823	1	Collins
1824	1	Sceptre
1825	1	Hodder & Stoughton Ltd
1826	1	Oxford University Press
1827	1	Penguin Books Ltd
1828	1	Vintage
1829	1	Oxford University Press
1830	1	Oxford University Press
1831	1	Vintage
1832	1	Hodder Paperback
1833	1	Speechmark Publishing Ltd
1834	1	Dorling Kindersley Publishers Ltd
1835	1	Penguin Books Ltd
1836	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1837	1	Berkley Publishing Corporation,U.S.
1838	1	M & B
1839	1	Arrow Books Ltd
1840	1	Robinson Publishing
1841	1	Headline Book Publishing
1842	1	Piatkus Books
1843	1	Robinson Publishing
1844	1	Arrow Books Ltd
1845	1	Vintage
1846	1	Piatkus Books
1847	1	Robinson Publishing
1848	1	Signet
1849	1	Piatkus Books
1850	1	Pocket Books
1851	1	Pan Books
1852	1	Mills & Boon
1853	1	Voyager
1854	1	Harper
1855	1	Arrow Books Ltd
1856	1	Penguin Classics
1857	1	Avon Books
1858	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1859	1	Arrow Books Ltd
1860	1	Headline Review
1861	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1862	1	Financial Times Prentice Hall
1863	1	Saint Martin&#39;s Press Inc.
1864	1	Little Black Dress
1865	1	Camden
1866	1	Mills & Boon
1867	1	M & B
1868	1	Arrow Books Ltd
1869	1	Harper
1870	1	M & B
1871	1	M & B
1872	1	Piatkus Books
1873	1	Pan Books
1874	1	Sphere
1875	1	Piatkus Books
1876	1	Harper
1877	1	M & B
1878	1	Macmillan
1879	1	Sphere
1880	1	Corgi Books
1881	1	Piatkus Books
1882	1	M & B
1883	1	Mira Books
1884	1	Longman
1885	1	Persephone Books Ltd
1886	1	M & B
1887	1	Piatkus Books
1888	1	Arrow Books Ltd
1889	1	Pan Books
1890	1	Saint Martin&#39;s Press Inc.
1891	1	Piatkus Books
1892	1	Piatkus Books
1893	1	Arrow Books Ltd
1894	1	Forever
1895	1	Avon Books
1896	1	Piatkus Books
1897	1	Corgi Books
1898	1	Piatkus Books
1899	1	Piatkus Books
1900	1	M & B
1901	1	Avon Books
1902	1	Gollancz
1903	1	Bantam Doubleday Dell
1904	1	Piatkus Books
1905	1	M & B
1906	1	Piatkus Books
1907	1	Penguin Classics
1908	1	Mira Books
1909	1	Pan Books
1910	1	Silhouette Books
1911	1	Penguin Books Ltd
1912	1	Harper
1913	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1914	1	Coronet Books
1915	1	Corgi Books
1916	1	Arrow Books Ltd
1917	1	Avon Books
1918	1	Saint Martin&#39;s Press Inc.
1919	1	Mills & Boon
1920	1	Saint Martin&#39;s Press Inc.
1921	1	M & B
1922	1	Piatkus Books
1923	1	Saint Martin&#39;s Press Inc.
1924	1	Black and White Publishing
1925	1	Piatkus Books
1926	1	Piatkus Books
1927	1	M & B
1928	1	Kinglake Publishing
1929	1	Mills & Boon
1930	1	Robinson Publishing
1931	1	Berkley Publishing Corporation,U.S.
1932	1	Arrow Books Ltd
1933	1	M & B
1934	1	M & B
1935	1	Hodder Education
1936	1	Essvale Corporation Limited
1937	1	Piatkus Books
1938	1	Gollancz
1939	1	Gollancz
1940	1	Piatkus Books
1941	1	Harper
1942	1	HarperCollins Publishers Ltd
1943	1	Orbit
1944	1	Gollancz
1945	1	Gollancz
1946	1	The Black Library
1947	1	Orbit
1948	1	HarperVoyager
1949	1	Orbit
1950	1	Gollancz
1951	1	Gollancz
1952	1	The Black Library
1953	1	Gollancz
1954	1	Gollancz
1955	1	BBC Books
1956	1	Voyager
1957	1	Robinson Publishing
1958	1	Routledge
1959	1	Financial Times Prentice Hall
1960	1	Pan Books
1961	1	Harvard Business School Press
1962	1	Orbit
1963	1	Orbit
1964	1	The Black Library
1965	1	Headline Book Publishing
1966	1	Piatkus Books
1967	1	Gollancz
1968	1	Orbit
1969	1	Orbit
1970	1	Orbit
1971	1	HarperVoyager
1972	1	Gollancz
1973	1	HarperVoyager
1974	1	Robinson Publishing
1975	1	Mira Books
1976	1	Orbit
1977	1	Bantam Books (Transworld Publishers a division of the Random House Group)
1978	1	Hodder & Stoughton Ltd
1979	1	Orbit
1980	1	The Black Library
1981	1	Corgi Books
1982	1	HarperCollins Publishers Ltd
1983	1	Orbit
1984	1	Pan Books
1985	1	Pan Books
1986	1	Hodder & Stoughton Ltd
1987	1	Penguin Classics
1988	1	Harriman House Publishing
1989	1	John Blake Publishing Ltd
1990	1	Arrow Books Ltd
1991	1	Arrow Books Ltd
1992	1	Pocket Books
1993	1	Piatkus Books
1994	1	Corgi Books
1995	1	The Black Library
1996	1	Headline Review
1997	1	Orbit
1998	1	Corgi Books
1999	1	Orbit
